cmd=draw lib=pthread power=28
threads,sys,user,elapsed
1,0.412,4.933,5.432
2,0.461,5.277,3.064
3,0.411,4.973,2.142
4,0.274,3.626,1.167
5,0.258,3.866,1.107
6,0.288,4.281,0.990
7,0.257,3.751,0.737
8,0.263,4.056,0.699
