cmd=limits lib=pthread power=28
threads,sys,user,elapsed
1,0.000,1.799,1.804
2,0.000,1.346,0.686
3,0.000,1.440,0.489
4,0.000,1.543,0.397
5,0.000,1.677,0.374
6,0.000,1.840,0.330
7,0.000,1.956,0.296
8,0.000,2.018,0.279
