cmd=draw lib=tbb power=28
threads,sys,user,elapsed
1,0.264,3.470,3.804
2,0.292,3.624,2.057
3,0.293,3.769,1.460
4,0.299,3.886,1.153
5,0.361,4.876,1.198
6,0.378,5.122,1.053
7,0.404,5.662,1.000
8,0.418,6.094,0.947
