draw,serial,28,1,0.36,5.20,5.65
draw,serial,28,1,0.37,5.22,5.68
draw,serial,28,1,0.36,5.20,5.66
limits,serial,28,1,0.00,1.85,1.85
limits,serial,28,1,0.00,1.81,1.81
limits,serial,28,1,0.00,1.81,1.81
draw,serial,28,1,0.36,5.21,5.67
draw,serial,28,1,0.34,5.33,5.76
draw,serial,28,1,0.38,5.25,5.73
limits,serial,28,1,0.00,1.86,1.86
limits,serial,28,1,0.00,1.84,1.85
limits,serial,28,1,0.00,1.90,1.91
draw,pthread,28,1,0.43,5.30,5.82
draw,pthread,28,1,0.46,5.29,5.84
draw,pthread,28,1,0.21,2.19,2.41
draw,pthread,28,2,0.44,5.36,3.09
draw,pthread,28,2,0.44,5.37,3.11
draw,pthread,28,2,0.46,4.17,2.41
draw,pthread,28,3,0.45,5.46,2.30
draw,pthread,28,3,0.45,5.42,2.29
draw,pthread,28,3,0.05,0.50,0.20
draw,pthread,28,4,0.06,0.80,0.25
draw,pthread,28,4,0.06,0.69,0.22
draw,pthread,28,4,0.05,0.60,0.19
draw,pthread,28,5,0.05,0.62,0.18
draw,pthread,28,5,0.06,0.63,0.19
draw,pthread,28,5,0.06,0.68,0.19
draw,pthread,28,6,0.06,0.81,0.19
draw,pthread,28,6,0.07,0.83,0.19
draw,pthread,28,6,0.07,0.93,0.22
draw,pthread,28,7,0.08,1.01,0.21
draw,pthread,28,7,0.08,0.85,0.17
draw,pthread,28,7,0.06,0.98,0.20
draw,pthread,28,8,0.08,1.12,0.21
draw,pthread,28,8,0.07,1.31,0.22
draw,pthread,28,8,0.07,1.31,0.21
draw,tbb,28,1,0.01,0.21,0.22
draw,tbb,28,1,0.02,0.24,0.26
draw,tbb,28,1,0.02,0.18,0.20
draw,tbb,28,2,0.02,0.45,0.24
draw,tbb,28,2,0.03,0.45,0.24
draw,tbb,28,2,0.04,0.40,0.22
draw,tbb,28,3,0.04,0.60,0.22
draw,tbb,28,3,0.05,0.53,0.20
draw,tbb,28,3,0.04,0.62,0.23
draw,tbb,28,4,0.06,0.71,0.20
draw,tbb,28,4,0.06,0.78,0.22
draw,tbb,28,4,0.05,0.78,0.22
draw,tbb,28,5,0.05,0.97,0.23
