EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.421000,0.1000,0.212412,
slow_a,0.763000,0.0,0.382676,
slow_b,3.9000,0.0,1.540896,
slow_c,0.0,0.0,0.1,
slow_d,0.0,0.0,0.0,
slow_e,3.902000,0.1000,1.965500,
slow_f,0.423000,0.1000,0.283051,

