EXPERIMENT thread=1 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.433000,0.0,0.432256,
slow_a,0.763000,0.0,0.764302,
slow_b,0.961000,0.0,0.963391,
slow_c,0.0,0.0,0.1,
slow_d,0.0,0.0,0.1,
slow_e,2.724000,0.0,2.741795,
slow_f,0.421000,0.0,0.422278,

